Tweet,Polarity,Subjectivity,neutral
RT @SandipGhose: Call me Godi or #Modi - 4 counts on which @narendramodi can’t be beaten by Opposition 1) Food Security during #COVID19 2)…,0.0,0.0,1.0
"@globeandmail Poll: Were #COVID19 vaccination targets unrealistic? 

#CDNmedia #CDNpoli #CDNhealth",-0.5,1.0,1.0
RT @sufisal: The smart lockdown strategy of @ImranKhanPTI Govt saved both lives &amp; livelihoods. Pakistan achieved a 6% economic growth despi…,0.2071428571428571,0.4214285714285715,1.0
"RT @WHO: ""And, as the emergence of the new [#COVID19] XBB.1.16 variant illustrates, the virus is still changing, and is still capable of ca…",0.1681818181818181,0.4272727272727272,1.0
"RT @ActivateImpact: During crises like #COVID19, sharing misinformation can harm vulnerable people. 

#PledgeToPause before sharing &amp; choos…",-0.5,0.5,1.0
RT @P_McCulloughMD: Dr. Hazan @Progenabiome @SabinehazanMD  treated severely hypoxemic acute #COVID19 published her results and had full @U…,0.475,0.7250000000000001,1.0
"Given @BBC reported on 2020.01.26 in print* &amp; video** of the asymptomatic spread of #COVID19,  it seems appropriate to insert “and people” into Einstein’s quote:

 “We cannot solve our problems with the same thinking (and people) we used when we created them.”

My view on a Dr.… https://t.co/J6Mx435G8z https://t.co/rLJCgILXP4",0.25,0.3125,1.0
Tell it like it is! #COVID19 https://t.co/ZkAQtVLu0N,0.0,0.0,1.0
"RT @BigBadDenis: World moving out of COVID-19 emergency phase: the World Health Organisation's chief says

#COVID19 @WHO @DrTedros 

Source…",0.0,0.0,1.0
RT @BrianKiely2: @lisa_iannattone It is surreal what is happening in Healthcare globally. Unwilling to attribute any blame to #Covid19 for…,0.125,0.5,1.0
"RT @gavi: #Rubella is an acute infection that spreads twice as easily as #COVID19. It can severely affect babies in the womb, leading to bi…",0.5166666666666666,0.8666666666666667,1.0
"RT @EpochTimes: #CDC officials have made multiple false statements this month regarding possible #COVID19 vaccine side effects, continuing…",-0.1333333333333333,0.5333333333333333,1.0
"RT @eullrich11: At my primary care doctor in Kentucky, I’m (OF COURSE) the only one wearing a mask and have gotten a lot of side eye, but w…",0.2,0.75,1.0
"RT @DrLiMengYAN1: Here is a compiled file of several threads posted by @daoyu recently, rejecting “novel findings of nature-origin”
Because…",0.0,0.125,1.0
"RT @FearlessFriends: MAKE THIS BRAVE MAN GO VIRAL! Pls Retweet!👇
Sen #MalcolmRoberts-#Australia's fierce Alpha male!
""We know this #Covid19…",0.5,0.55,1.0
"RT @ONS: The rate of absence from work because of sickness or injury continued to rise in 2022, after the #COVID19 lockdown helped drive it…",-0.0125,0.0,1.0
"RT @FearlessFriends: MAKE THIS BRAVE MAN GO VIRAL! Pls Retweet!👇
Sen #MalcolmRoberts-#Australia's fierce Alpha male!
""We know this #Covid19…",0.5,0.55,1.0
RT @DanaGarrison: FREE - Shutterstock giving out some free stock images for small #business and #entreprenerus in these #covid19 times: htt…,0.1833333333333333,0.6666666666666666,1.0
"RT @FearlessFriends: MAKE THIS BRAVE MAN GO VIRAL! Pls Retweet!👇
Sen #MalcolmRoberts-#Australia's fierce Alpha male!
""We know this #Covid19…",0.5,0.55,1.0
RT @SandipGhose: Call me Godi or #Modi - 4 counts on which @narendramodi can’t be beaten by Opposition 1) Food Security during #COVID19 2)…,0.0,0.0,1.0
"RT @ActivateImpact: During crises like #COVID19, sharing misinformation can harm vulnerable people. 

#PledgeToPause before sharing &amp; choos…",-0.5,0.5,1.0
